item_name,choice_description,choice_description
Barbacoa Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Guacamole,Lettuce",1
Barbacoa Bowl,"FreshTomatoSalsa,Rice,BlackBeans,Cheese",1
Barbacoa Bowl,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,SourCream,Guacamole",1
Barbacoa Bowl,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,SourCream,Lettuce",1
Barbacoa Bowl,"FreshTomatoSalsa,Rice,BlackBeans,PintoBeans,Cheese,SourCream,Lettuce",1
Barbacoa Bowl,"FreshTomatoSalsa,Rice,BlackBeans,SourCream,Lettuce",1
Barbacoa Bowl,"FreshTomatoSalsa,Rice,Cheese,SourCream,Guacamole,Lettuce",1
Barbacoa Bowl,"FreshTomatoSalsa,Rice,FajitaVegetables,BlackBeans,SourCream",1
Barbacoa Bowl,Guacamole,1
Barbacoa Bowl,"Rice,Cheese",1
Barbacoa Bowl,"RoastedChiliCornSalsa,Cheese,Lettuce",1
Barbacoa Bowl,"RoastedChiliCornSalsa,FajitaVegetables,Rice,Guacamole",1
Barbacoa Bowl,"RoastedChiliCornSalsa,PintoBeans,SourCream,Cheese,Lettuce,Guacamole",1
Barbacoa Bowl,"RoastedChiliCornSalsa,Rice,Cheese,Lettuce",1
Barbacoa Bowl,"RoastedChiliCornSalsaMedium,TomatilloRedChiliSalsaHot,PintoBeans,Rice,FajitaVeggies",1
Barbacoa Bowl,"TomatilloGreenChiliSalsa,FajitaVegetables,PintoBeans,SourCream,Guacamole,Lettuce",1
Barbacoa Bowl,"TomatilloGreenChiliSalsa,FajitaVegetables,Rice,BlackBeans,PintoBeans,Guacamole",1
Barbacoa Bowl,"TomatilloGreenChiliSalsa,Rice,Cheese,Guacamole,Lettuce",1
Barbacoa Bowl,"TomatilloGreenChiliSalsaMedium,RoastedChiliCornSalsaMedium,BlackBeans,Rice,Cheese,Guacamole",1
Barbacoa Bowl,"TomatilloGreenChiliSalsaMedium,RoastedChiliCornSalsaMedium,Rice,FajitaVeggies,Guacamole,Lettuce",1
Barbacoa Bowl,"TomatilloGreenChiliSalsaMedium,TomatilloRedChiliSalsaHot,BlackBeans,Rice,Cheese,Lettuce",1
Barbacoa Bowl,"TomatilloRedChiliSalsa,BlackBeans,Cheese,SourCream,Guacamole",1
Barbacoa Bowl,"TomatilloRedChiliSalsa,Cheese,SourCream,Guacamole,Lettuce",1
Barbacoa Bowl,"TomatilloRedChiliSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,SourCream,Guacamole,Lettuce",1
Barbacoa Bowl,"TomatilloRedChiliSalsa,Rice,BlackBeans,Cheese",1
Barbacoa Bowl,"TomatilloRedChiliSalsa,Rice,BlackBeans,Cheese,Lettuce",1
Barbacoa Bowl,"TomatilloRedChiliSalsa,Rice,BlackBeans,SourCream,Cheese,Lettuce",1
Barbacoa Bowl,"TomatilloRedChiliSalsa,Rice,FajitaVegetables,BlackBeans,SourCream,Cheese",1
Barbacoa Bowl,"TomatilloRedChiliSalsa,Rice,FajitaVegetables,BlackBeans,SourCream,Cheese,Lettuce,Guacamole",1
Barbacoa Bowl,"TomatilloRedChiliSalsa,Rice,PintoBeans,Cheese,Lettuce",1
Barbacoa Bowl,"TomatilloRedChiliSalsaHot,TomatilloGreenChiliSalsaMedium,Rice,PintoBeans,FajitaVeggies,Cheese,SourCream,Lettuce",1
Barbacoa Bowl,"TomatilloRedChiliSalsaHot,TomatilloGreenChiliSalsaMedium,Rice,PintoBeans,FajitaVeggies,Lettuce",1
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,Cheese,Lettuce",9
Barbacoa Burrito,"TomatilloGreenChiliSalsaMedium,Rice,Cheese,SourCream,Lettuce",4
Barbacoa Burrito,"FreshTomatoSalsa,Rice,PintoBeans,Cheese,Lettuce",2
Barbacoa Burrito,"FreshTomatoSalsa,Rice,PintoBeans,Cheese,SourCream,Lettuce",2
Barbacoa Burrito,"RoastedChiliCornSalsa,FajitaVegetables,Rice,BlackBeans,SourCream,Guacamole",2
Barbacoa Burrito,"RoastedChiliCornSalsaMedium,Rice,FajitaVeggies,Cheese,SourCream,Lettuce",2
Barbacoa Burrito,TomatilloGreenChiliSalsa,2
Barbacoa Burrito,"TomatilloGreenChiliSalsa,Rice,BlackBeans,Cheese,Lettuce",2
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,BlackBeans,Cheese,SourCream",2
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,Cheese,SourCream,Lettuce",2
Barbacoa Burrito,"TomatilloRedChiliSalsaHot,Rice,Cheese,SourCream,Lettuce",2
Barbacoa Burrito,"BlackBeans,Rice,Cheese",1
Barbacoa Burrito,"FreshTomatoMild,BlackBeans,Rice,SourCream,Cheese",1
Barbacoa Burrito,"FreshTomatoMild,Guacamole,Rice,BlackBeans",1
Barbacoa Burrito,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,Guacamole,Lettuce",1
Barbacoa Burrito,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,Lettuce",1
Barbacoa Burrito,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,SourCream,Guacamole,Lettuce",1
Barbacoa Burrito,"FreshTomatoSalsa,FajitaVegetables,Rice,Cheese,Lettuce",1
Barbacoa Burrito,"FreshTomatoSalsa,FajitaVegetables,Rice,Cheese,SourCream",1
Barbacoa Burrito,"FreshTomatoSalsa,FajitaVegetables,Rice,Cheese,SourCream,Guacamole,Lettuce",1
Barbacoa Burrito,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,Lettuce",1
Barbacoa Burrito,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,SourCream",1
Barbacoa Burrito,"FreshTomatoSalsa,Rice,Cheese",1
Barbacoa Burrito,"FreshTomatoSalsa,Rice,PintoBeans,Cheese",1
Barbacoa Burrito,"FreshTomatoSalsa,Rice,PintoBeans,Guacamole,Lettuce",1
Barbacoa Burrito,"FreshTomatoSalsaMild,BlackBeans,Rice,Cheese,SourCream,Guacamole,Lettuce",1
Barbacoa Burrito,"FreshTomatoSalsaMild,TomatilloGreenChiliSalsaMedium,TomatilloRedChiliSalsaHot,Rice,Cheese,SourCream,Lettuce",1
Barbacoa Burrito,"FreshTomatoSalsaMild,TomatilloRedChiliSalsaHot,BlackBeans,Rice,Cheese,SourCream",1
Barbacoa Burrito,RoastedChiliCornSalsa,1
Barbacoa Burrito,"RoastedChiliCornSalsa,BlackBeans,Cheese,SourCream",1
Barbacoa Burrito,"RoastedChiliCornSalsa,FajitaVegetables,Rice,Cheese,SourCream,Guacamole,Lettuce",1
Barbacoa Burrito,"RoastedChiliCornSalsa,FajitaVegetables,Rice,Cheese,SourCream,Lettuce",1
Barbacoa Burrito,"RoastedChiliCornSalsa,FajitaVegetables,Rice,PintoBeans,Cheese,SourCream,Lettuce",1
Barbacoa Burrito,"RoastedChiliCornSalsa,FajitaVegetables,Rice,SourCream,Guacamole",1
Barbacoa Burrito,"RoastedChiliCornSalsa,FajitaVegetables,SourCream,Cheese,Lettuce,Guacamole",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,BlackBeans,Cheese,Guacamole,Lettuce",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,BlackBeans,Cheese,Lettuce,Guacamole",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,BlackBeans,Cheese,SourCream",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,BlackBeans,Cheese,SourCream,Lettuce",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,BlackBeans,SourCream,Cheese",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,Cheese,SourCream,Lettuce",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,PintoBeans,Cheese,Guacamole",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,PintoBeans,Cheese,Guacamole,Lettuce",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,PintoBeans,Cheese,Lettuce,Guacamole",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,PintoBeans,Cheese,SourCream",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,PintoBeans,Cheese,SourCream,Lettuce",1
Barbacoa Burrito,"RoastedChiliCornSalsa,Rice,PintoBeans,SourCream,Cheese",1
Barbacoa Burrito,"RoastedChiliCornSalsaMedium,BlackBeans,Rice,Cheese,SourCream",1
Barbacoa Burrito,"RoastedChiliCornSalsaMedium,BlackBeans,Rice,FajitaVeggies,Cheese,Lettuce",1
Barbacoa Burrito,"RoastedChiliCornSalsaMedium,TomatilloRedChiliSalsaHot,BlackBeans,Rice,Cheese,SourCream",1
Barbacoa Burrito,"TomatilloGreenChiliSalsa,FajitaVegetables,PintoBeans,SourCream,Cheese,Lettuce",1
Barbacoa Burrito,"TomatilloGreenChiliSalsa,Rice,BlackBeans,SourCream,Cheese",1
Barbacoa Burrito,"TomatilloGreenChiliSalsa,Rice,BlackBeans,SourCream,Cheese,Lettuce",1
Barbacoa Burrito,"TomatilloGreenChiliSalsa,Rice,FajitaVegetables,PintoBeans,SourCream,Cheese",1
Barbacoa Burrito,"TomatilloGreenChiliSalsa,Rice,PintoBeans,Cheese,Guacamole",1
Barbacoa Burrito,"TomatilloGreenChiliSalsaMedium,Rice,Cheese,SourCream",1
Barbacoa Burrito,"TomatilloGreenChiliSalsaMedium,TomatilloRedChiliSalsaHot,Rice,Cheese,SourCream,Lettuce",1
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,BlackBeans,Cheese,Guacamole",1
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,BlackBeans,Cheese,SourCream,Guacamole,Lettuce",1
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,Cheese",1
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,Cheese,Guacamole",1
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,Cheese,SourCream,Guacamole,Lettuce",1
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,FajitaVegetables,BlackBeans,SourCream,Cheese,Guacamole",1
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,FajitaVegetables,PintoBeans,SourCream,Cheese",1
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,FajitaVegetables,SourCream,Cheese,Lettuce,Guacamole",1
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,PintoBeans,Cheese,SourCream,Lettuce",1
Barbacoa Burrito,"TomatilloRedChiliSalsa,Rice,SourCream,Cheese,Guacamole",1
Barbacoa Burrito,"TomatilloRedChiliSalsaHot,FreshTomatoSalsaMild,TomatilloGreenChiliSalsaMedium,Rice,PintoBeans,Cheese",1
Barbacoa Burrito,"TomatilloRedChiliSalsaHot,PintoBeans,Rice,Cheese,SourCream,Lettuce",1
Barbacoa Burrito,"TomatilloRedChiliSalsaHot,Rice,Cheese,Lettuce",1
Barbacoa Burrito,"TomatilloRedChiliSalsaHot,Rice,Cheese,SourCream",1
Barbacoa Crispy Tacos,"FreshTomatoSalsa,Guacamole",1
Barbacoa Crispy Tacos,"FreshTomatoSalsa,Rice,Cheese,SourCream",1
Barbacoa Crispy Tacos,"FreshTomatoSalsa,SourCream,Cheese,Rice",1
Barbacoa Crispy Tacos,"FreshTomatoSalsa,SourCream,Lettuce",1
Barbacoa Crispy Tacos,"FreshTomatoSalsaMild,TomatilloGreenChiliSalsaMedium,PintoBeans,Rice,FajitaVeggies,Cheese,SourCream,Lettuce",1
Barbacoa Crispy Tacos,"RoastedChiliCornSalsa,FajitaVegetables,BlackBeans,Cheese",1
Barbacoa Crispy Tacos,"RoastedChiliCornSalsa,Rice,Cheese,Lettuce",1
Barbacoa Crispy Tacos,"RoastedChiliCornSalsa,Rice,Cheese,Lettuce,Guacamole",1
Barbacoa Crispy Tacos,"RoastedChiliCornSalsaMedium,TomatilloRedChiliSalsaHot,Cheese,SourCream,Guacamole",1
Barbacoa Crispy Tacos,"TomatilloRedChiliSalsa,Rice,BlackBeans,Cheese,SourCream,Guacamole",1
Barbacoa Crispy Tacos,"TomatilloRedChiliSalsaHot,BlackBeans,Cheese,SourCream,Lettuce",1
Barbacoa Salad Bowl,RoastedChiliCornSalsa,2
Barbacoa Salad Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,Guacamole,Lettuce",1
Barbacoa Salad Bowl,"FreshTomatoSalsa,Guacamole",1
Barbacoa Salad Bowl,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,SourCream",1
Barbacoa Salad Bowl,"FreshTomatoSalsa,Rice,FajitaVegetables,PintoBeans,BlackBeans,SourCream,Cheese,Lettuce,Guacamole",1
Barbacoa Salad Bowl,"FreshTomatoSalsa,Rice,PintoBeans,Cheese,Lettuce",1
Barbacoa Salad Bowl,"TomatilloGreenChiliSalsa,FajitaVegetables,Rice,Cheese,SourCream,Lettuce",1
Barbacoa Salad Bowl,"TomatilloGreenChiliSalsa,Rice,FajitaVegetables,PintoBeans,SourCream,Cheese,Lettuce,Guacamole",1
Barbacoa Salad Bowl,"TomatilloRedChiliSalsa,BlackBeans,Cheese,SourCream,Guacamole",1
Barbacoa Soft Tacos,"TomatilloRedChiliSalsa,Rice,PintoBeans,Cheese,SourCream",6
Barbacoa Soft Tacos,"TomatilloRedChiliSalsa,Rice,Cheese,SourCream,Lettuce",4
Barbacoa Soft Tacos,"FreshTomatoSalsa,BlackBeans,Cheese,Lettuce",1
Barbacoa Soft Tacos,"FreshTomatoSalsa,FajitaVegetables,BlackBeans,Lettuce",1
Barbacoa Soft Tacos,"FreshTomatoSalsa,Rice,BlackBeans,PintoBeans,Cheese,SourCream",1
Barbacoa Soft Tacos,"FreshTomatoSalsaMild,RoastedChiliCornSalsaMedium,TomatilloRedChiliSalsaHot,PintoBeans,Cheese,SourCream,Lettuce",1
Barbacoa Soft Tacos,"RoastedChiliCornSalsa,Cheese,SourCream,Guacamole",1
Barbacoa Soft Tacos,"RoastedChiliCornSalsa,FajitaVegetables,BlackBeans,Cheese,SourCream,Lettuce",1
Barbacoa Soft Tacos,"RoastedChiliCornSalsa,Rice,BlackBeans,Cheese,SourCream,Guacamole,Lettuce",1
Barbacoa Soft Tacos,"RoastedChiliCornSalsa,Rice,Cheese,SourCream,Guacamole",1
Barbacoa Soft Tacos,"RoastedChiliCornSalsa,Rice,PintoBeans,Cheese,SourCream,Guacamole",1
Barbacoa Soft Tacos,"TomatilloGreenChiliSalsa,PintoBeans,SourCream,Guacamole",1
Barbacoa Soft Tacos,"TomatilloGreenChiliSalsa,SourCream,Cheese,Lettuce",1
Barbacoa Soft Tacos,"TomatilloRedChiliSalsa,BlackBeans,Cheese,SourCream,Guacamole",1
Barbacoa Soft Tacos,"TomatilloRedChiliSalsa,FajitaVegetables,Guacamole,Lettuce",1
Barbacoa Soft Tacos,"TomatilloRedChiliSalsaHot,PintoBeans,Cheese,SourCream,Lettuce",1
Barbacoa Soft Tacos,"TomatilloRedChiliSalsaHot,Rice,Cheese,Guacamole",1
Bottled Water,Origin,162
Bowl,"AdoboMarinatedandGrilledSteak,SourCream,Salsa,Cheese,CilantroLimeRice,Guacamole",1
Bowl,"BraisedCarnitas,PintoBeans,SourCream,Cheese,CilantroLimeRice",1
Burrito,"AdoboMarinatedandGrilledChicken,PintoBeans,SourCream,Salsa,Cheese,CilantroLimeRice,Guacamole",1
Burrito,"AdoboMarinatedandGrilledChicken,SourCream,Cheese,CilantroLimeRice",1
Burrito,"BraisedBarbacoa,PintoBeans,SourCream,Salsa,Cheese,CilantroLimeRice,Guacamole",1
Burrito,"BraisedBarbacoa,VegetarianBlackBeans,SourCream,Salsa,Cheese,CilantroLimeRice",1
Burrito,"WhiteRice,AdoboMarinatedandGrilledSteak,PintoBeans,SourCream,Salsa,Cheese,CilantroLimeRice",1
Burrito,"WhiteRice,AdoboMarinatedandGrilledSteak,Salsa,Cheese",1
Canned Soda,CocaCola,26
Canned Soda,DrPepper,18
Canned Soda,Sprite,17
Canned Soda,DietCoke,15
Canned Soda,MountainDew,15
Canned Soda,DietDrPepper,13
Canned Soft Drink,Coke,102
Canned Soft Drink,DietCoke,95
Canned Soft Drink,Sprite,55
Canned Soft Drink,Lemonade,31
Canned Soft Drink,Nestea,18
Carnitas Bowl,"FreshTomatoSalsa,Rice,FajitaVegetables,BlackBeans,Cheese,Lettuce,Guacamole",3
Carnitas Bowl,"TomatilloRedChiliSalsaHot,BlackBeans,Rice,FajitaVeggies,Cheese,SourCream,Lettuce",3
Carnitas Bowl,"FreshTomatoMild,Guacamole,SourCream,Cheese",2
Carnitas Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,Guacamole,Lettuce",2
Carnitas Bowl,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,Guacamole,Lettuce",2
Carnitas Bowl,"RoastedChiliCornSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,SourCream,Guacamole,Lettuce",2
Carnitas Bowl,"TomatilloGreenChiliSalsa,Rice,PintoBeans,Cheese,Guacamole,Lettuce",2
Carnitas Bowl,"FreshTomatoMild,Guacamole,Lettuce,Rice,SourCream,Cheese",1
Carnitas Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,SourCream",1
Carnitas Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,SourCream,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,PintoBeans,Cheese,SourCream,Guacamole,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,PintoBeans,Cheese,SourCream,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,PintoBeans,Cheese,SourCream,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsa,FajitaVegetables,Rice,PintoBeans,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,SourCream",1
Carnitas Bowl,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,SourCream,Guacamole",1
Carnitas Bowl,"FreshTomatoSalsa,Rice,BlackBeans,PintoBeans,Cheese,SourCream,Guacamole,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsa,Rice,Cheese,SourCream,Guacamole,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsa,Rice,FajitaVegetables,BlackBeans,Lettuce,Guacamole",1
Carnitas Bowl,"FreshTomatoSalsa,Rice,FajitaVegetables,BlackBeans,SourCream,Cheese,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsa,Rice,PintoBeans,Cheese,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsa,Rice,SourCream,Guacamole,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsaMild,FajitaVeggies,Cheese,SourCream,Guacamole",1
Carnitas Bowl,"FreshTomatoSalsaMild,PintoBeans,Rice,Cheese,SourCream,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsaMild,Rice,Cheese,SourCream",1
Carnitas Bowl,"FreshTomatoSalsaMild,RoastedChiliCornSalsaMedium,Rice,Cheese,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsaMild,TomatilloGreenChiliSalsaMedium,Rice,FajitaVeggies,Lettuce",1
Carnitas Bowl,"FreshTomatoSalsaMild,TomatilloGreenChiliSalsaMedium,RoastedChiliCornSalsaMedium,BlackBeans,Rice,Cheese",1
Carnitas Bowl,"RoastedChiliCornSalsa,FajitaVegetables,Rice,BlackBeans,Cheese",1
Carnitas Bowl,"RoastedChiliCornSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,SourCream",1
Carnitas Bowl,"RoastedChiliCornSalsa,FajitaVegetables,Rice,Cheese,SourCream",1
Carnitas Bowl,"RoastedChiliCornSalsa,FajitaVegetables,Rice,PintoBeans,Cheese,SourCream,Guacamole,Lettuce",1
Carnitas Bowl,"RoastedChiliCornSalsa,Rice,BlackBeans,Cheese,SourCream",1
Carnitas Bowl,"RoastedChiliCornSalsa,Rice,BlackBeans,Cheese,SourCream,Lettuce",1
Carnitas Bowl,"RoastedChiliCornSalsa,Rice,BlackBeans,PintoBeans,Cheese,SourCream,Lettuce",1
Carnitas Bowl,"RoastedChiliCornSalsa,Rice,FajitaVegetables,BlackBeans,SourCream,Cheese",1
Carnitas Bowl,"RoastedChiliCornSalsa,Rice,PintoBeans,SourCream",1
Carnitas Bowl,"RoastedChiliCornSalsa,Rice,SourCream,Cheese,Lettuce,Guacamole",1
Carnitas Bowl,"RoastedChiliCornSalsaMedium,PintoBeans,Rice,Cheese,Guacamole,Lettuce",1
Carnitas Bowl,"RoastedChiliCornSalsaMedium,PintoBeans,Rice,FajitaVeggies,Cheese,SourCream,Guacamole,Lettuce",1
Carnitas Bowl,"RoastedChiliCornSalsaMedium,Rice,Cheese,SourCream,Lettuce",1
Carnitas Bowl,"RoastedChiliCornSalsaMedium,Rice,Guacamole,Lettuce",1
Carnitas Bowl,"RoastedChiliCornSalsaMedium,TomatilloRedChiliSalsaHot,BlackBeans,Rice,Cheese,Lettuce",1
Carnitas Bowl,"RoastedChiliCornSalsaMedium,TomatilloRedChiliSalsaHot,FreshTomatoSalsaMild,Rice,PintoBeans,FajitaVeggies,Cheese,SourCream,Lettuce",1
Carnitas Bowl,"RoastedChiliCornSalsaMedium,TomatilloRedChiliSalsaHot,Rice,PintoBeans,Lettuce",1
Carnitas Bowl,"TomatilloGreenChiliSalsa,FajitaVegetables,PintoBeans,SourCream,Cheese,Lettuce",1
Carnitas Bowl,"TomatilloGreenChiliSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,SourCream,Guacamole,Lettuce",1
Carnitas Bowl,"TomatilloGreenChiliSalsa,PintoBeans,BlackBeans",1
Carnitas Bowl,"TomatilloGreenChiliSalsa,Rice,BlackBeans,PintoBeans,Cheese,Guacamole",1
Carnitas Bowl,"TomatilloRedChiliSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,Guacamole,Lettuce",1
Carnitas Bowl,"TomatilloRedChiliSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,SourCream,Lettuce",1
Carnitas Bowl,"TomatilloRedChiliSalsa,Rice,BlackBeans,Cheese,SourCream",1
Carnitas Bowl,"TomatilloRedChiliSalsaHot,BlackBeans,Rice,Cheese,SourCream,Lettuce",1
Carnitas Bowl,"TomatilloRedChiliSalsaHot,FreshTomatoSalsaMild,PintoBeans,Cheese,Guacamole,Lettuce",1
Carnitas Bowl,"TomatilloRedChiliSalsaHot,FreshTomatoSalsaMild,Rice,FajitaVeggies,Cheese,SourCream,Guacamole,Lettuce",1
Carnitas Bowl,"TomatilloRedChiliSalsaHot,FreshTomatoSalsaMild,Rice,PintoBeans,Cheese,Guacamole",1
Carnitas Bowl,"TomatilloRedChiliSalsaHot,Lettuce,SourCream,Cheese,FajitaVeggies,Rice,BlackBeans",1
Carnitas Burrito,"FreshTomatoSalsa,Rice,PintoBeans,SourCream,Cheese",4
Carnitas Burrito,"FreshTomatoSalsa,Rice,PintoBeans,Cheese,SourCream",3
Carnitas Burrito,"FreshTomatoMild,Lettuce,Rice",2
Carnitas Burrito,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,SourCream,Guacamole,Lettuce",2
Carnitas Burrito,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,SourCream,Lettuce",2
Carnitas Burrito,"FreshTomatoSalsa,Rice,PintoBeans,Cheese",2
Carnitas Burrito,"FreshTomatoSalsaMild,BlackBeans,Rice,Cheese,SourCream,Guacamole",2
Carnitas Burrito,"TomatilloGreenChiliSalsa,Rice,PintoBeans,Cheese,SourCream,Guacamole",2
Carnitas Burrito,"TomatilloGreenChiliSalsa,Rice,PintoBeans,SourCream",2
Carnitas Burrito,"FreshTomatoMild,Lettuce,BlackBeans,Guacamole,Rice,SourCream,Cheese",1
Carnitas Burrito,"FreshTomatoSalsa,BlackBeans,Cheese,SourCream,Guacamole,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsa,BlackBeans,PintoBeans,Cheese,SourCream,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsa,Cheese,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsa,FajitaVegetables,Rice,BlackBeans,Cheese,SourCream",1
Carnitas Burrito,"FreshTomatoSalsa,FajitaVegetables,Rice,PintoBeans,Cheese,SourCream,Guacamole,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsa,FajitaVegetables,Rice,PintoBeans,Cheese,SourCream,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,SourCream,Guacamole,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsa,Rice,BlackBeans,Cheese,SourCream,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsa,Rice,BlackBeans,Guacamole,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsa,Rice,Cheese,SourCream,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsa,Rice,PintoBeans,Cheese,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsaMild,BlackBeans,Rice,Cheese,SourCream",1
Carnitas Burrito,"FreshTomatoSalsaMild,PintoBeans,BlackBeans,Rice,Cheese,SourCream,Lettuce",1
Carnitas Burrito,"FreshTomatoSalsaMild,PintoBeans,Rice,FajitaVeggies,SourCream",1
